segment,speed,count,timestamp
"635,70",22.54511314195075,27,"201609011045"
"635,70",22.223844275277074,32,"201609011025"
"635,70",24.78555557728901,26,"201609011040"
"635,70",22.14643715605446,44,"201609011120"
"635,70",24.227300875582074,16,"201609011135"
"635,70",23.576029805195052,38,"201609011720"
"635,70",21.57138531711947,37,"201609011715"
"635,70",20.28242409114842,54,"201609011725"
"635,70",27.791071744581306,24,"201609011215"
"635,70",23.404328569888207,22,"201609011210"
"635,70",22.775736190406167,24,"201609011220"
"635,70",26.90613363584085,24,"201609011520"
"635,70",20.808758679128964,20,"201609011440"
"635,70",21.803908432365176,64,"201609011750"
"635,70",21.80911533208269,16,"201609011625"
"635,70",22.422054323829457,25,"201609011630"
"635,70",22.575924346113315,27,"201609011730"
"635,70",19.591656368134803,40,"201609011805"
"635,70",21.13724422526806,23,"201609011250"
"635,70",20.335496042511082,15,"201609011305"
"635,70",22.24480758087562,19,"201609011605"
"635,70",23.93085162819556,32,"201609011415"
"635,70",21.262674204961375,24,"201609011540"
"635,70",24.54276262705163,31,"201609012150"
"635,70",22.34707569164443,29,"201609011825"
"635,70",27.463717921690865,14,"201609012330"
"635,70",29.09482575898932,12,"201609012250"
"635,70",22.890046172531715,19,"201609011930"
"635,70",23.27495485207653,22,"201609011935"
"635,70",32.09319504919637,6,"201609011900"
"635,70",23.398022712535237,28,"201609020950"
"635,70",25.975427587864377,31,"201609021010"
"635,70",23.386877837877257,30,"201609021020"
"635,70",19.769207655817493,26,"201609020945"
"635,70",21.3384149280406,38,"201609020725"
"635,70",22.23100882751328,22,"201609021045"
"635,70",22.90957707689265,15,"201609021115"
"635,70",24.56434063084573,24,"201609021130"
"635,70",21.435657642280265,23,"201609021140"
"635,70",21.08244186197148,15,"201609021135"
"635,70",18.756678602615473,20,"201609021145"
"635,70",32.45679693098178,2,"201609020140"
"635,70",20.423192820393123,1,"201609020210"
"635,70",27.72948391259195,7,"201609020040"
"635,70",15.375155337599727,4,"201609020050"
"635,70",33.934190436901225,1,"201609020300"
"635,70",18.57834837305505,2,"201609020245"
"635,70",20.76254445813036,3,"201609020255"
"635,70",25.103457558487207,3,"201609020320"
"635,70",19.27758224796948,2,"201609020350"
"635,70",21.385428014377503,36,"201609021705"
"635,70",19.799580690099663,36,"201609021745"
"635,70",17.922751082662373,43,"201609021810"
"635,70",52.857622503699424,1,"201609020455"
"635,70",29.993962652918476,5,"201609020520"
"635,70",22.916245854827437,12,"201609020700"
"635,70",24.94307828224313,11,"201609020610"
"635,70",29.932849412195626,9,"201609020615"
"635,70",25.67485720345735,20,"201609020620"
"635,70",32.39124412734395,8,"201609020605"
"635,70",33.284508862556244,3,"201609020545"
"635,70",22.23241053662083,39,"201609020705"
"635,70",24.759477889458175,30,"201609022030"
"635,70",20.469163601100146,18,"201609022050"
"635,70",22.478260509178057,32,"201609022045"
"635,70",23.96145662661622,21,"201609022010"
"635,70",20.969876718951426,25,"201609022150"
"635,70",23.574614795310765,28,"201609022155"
"635,70",27.360576517104487,9,"201609022200"
"635,70",24.750103897097116,18,"201609022205"
"635,70",22.97345975971032,15,"201609022230"
"635,70",30.43412419116116,16,"201609022255"
"635,70",30.227982091707815,13,"201609022240"
"635,70",25.36440595529992,17,"201609022245"
"635,70",22.544660254038458,22,"201609022120"
"635,70",22.365446364242686,30,"201609022115"
"635,70",21.98162458719924,28,"201609021245"
"635,70",23.14658937429712,16,"201609021310"
"635,70",22.778290574998138,24,"201609020930"
"635,70",19.122987698456992,30,"201609020740"
"635,70",20.34145346498708,19,"201609021355"
"635,70",22.796498673894845,31,"201609021340"
"635,70",22.179401401843982,28,"201609020835"
"635,70",20.681773832727604,27,"201609020845"
"635,70",24.753799537499074,27,"201609021230"
"635,70",24.27825131919532,36,"201609021330"
"635,70",24.40549479150835,29,"201609021430"
"635,70",22.722007144230055,5,"201609021500"
"635,70",23.18179219392176,30,"201609021540"
"635,70",21.28170206023914,35,"201609021535"
"635,70",23.787426420521804,27,"201609021435"
"635,70",26.327940653356197,17,"201609021610"
"635,70",22.0204206571634,29,"201609021615"
"635,70",22.932244904308114,10,"201609021900"
"635,70",25.09047504743136,26,"201609021915"
"635,70",24.39764589451715,23,"201609021910"
"635,70",21.473281072205367,24,"201609021930"
"635,70",20.413715773978115,37,"201609021840"
"635,70",22.343499990313497,38,"201609021830"
"635,70",23.986253865098472,2,"201609021700"
"635,70",21.866619686826194,39,"201609021715"
"635,70",18.380458879271696,28,"201609021825"
"635,70",25.323672934510373,25,"201609021950"
"635,70",26.998146347902257,20,"201609022035"
"635,70",18.883667003606153,27,"201609030955"
"635,70",19.860087200534426,34,"201609030910"
"635,70",24.117988831499602,30,"201609031010"
"635,70",23.931833768039418,15,"201609031005"
"635,70",23.538624501617345,28,"201609031110"
"635,70",22.46446000216236,28,"201609031105"
"635,70",15.989454775775524,4,"201609031100"
"635,70",22.66676101257957,26,"201609030805"
